iter	Logloss
0	0.6918316673
1	0.6906140139
2	0.6893878756
3	0.6882730031
4	0.6872003784
5	0.6862138314
6	0.6852866799
7	0.6843784739
8	0.6835533736
9	0.6827025089
10	0.681953426
11	0.6812136371
12	0.6805049198
13	0.6798790142
14	0.6792592753
15	0.6787006743
16	0.6781739497
17	0.6776845221
18	0.6771968898
19	0.676668887
20	0.6762266934
21	0.6757856622
22	0.675361895
23	0.6749120523
24	0.6744667421
25	0.6741261265
26	0.6737950724
27	0.6734637838
28	0.6731571653
29	0.6728076794
30	0.672429404
31	0.6721210318
32	0.6718323575
33	0.6715913986
34	0.6713496782
35	0.6710681945
36	0.6707875437
37	0.6705067592
38	0.6703246556
39	0.6701211068
40	0.6699264789
41	0.6697351913
42	0.6695832088
43	0.6693931268
44	0.6692413624
45	0.6690904651
46	0.6689260622
47	0.6687368155
48	0.6685829402
49	0.6684519105
50	0.6683204221
51	0.6681893441
52	0.6680609757
53	0.6679466375
54	0.6678392386
55	0.667717227
56	0.6675358486
57	0.6674075016
58	0.6672711448
59	0.6671095341
60	0.666987945
61	0.6668899237
62	0.6667420362
63	0.6666242637
64	0.666460759
65	0.6663049346
66	0.6661822377
67	0.6660649607
68	0.6659580506
69	0.6658014363
70	0.6656251733
71	0.6654602659
72	0.6653320326
73	0.6652418915
74	0.6651354594
75	0.6649851727
76	0.6649041667
77	0.6647902234
78	0.6647137684
79	0.6645863943
80	0.6644644335
81	0.664374637
82	0.6642743084
83	0.6641719791
84	0.6640834139
85	0.6640205793
86	0.6639498467
87	0.6638620278
88	0.6637661123
89	0.6635668817
90	0.6634824767
91	0.6633856865
92	0.6633059369
93	0.6631869717
94	0.6631173074
95	0.6630039225
96	0.662954288
97	0.662823925
98	0.6626924869
99	0.6625632278
100	0.6624906682
101	0.6623569309
102	0.6622178547
103	0.6620641213
104	0.6620010489
105	0.6618960772
106	0.6618265764
107	0.6617536009
108	0.6616461832
109	0.6615045523
110	0.6614117784
111	0.6612619532
112	0.6611785453
113	0.6610720765
114	0.660989192
115	0.6608368317
116	0.6607460833
117	0.6606515181
118	0.660551512
119	0.6604596342
120	0.6603551439
121	0.66022113
122	0.6601223208
123	0.6600633988
124	0.6600017479
125	0.6599252596
126	0.6597678149
127	0.6596291419
128	0.6595160899
129	0.6594462343
130	0.6593577461
131	0.6592829712
132	0.6591568671
133	0.6591062654
134	0.6589545617
135	0.6588618494
136	0.6586629894
137	0.6586065386
138	0.658538201
139	0.6584340889
140	0.6582807925
141	0.6582012145
142	0.6579913546
143	0.6578636762
144	0.6577637146
145	0.6576946805
146	0.6575411038
147	0.6574484529
148	0.6574405142
149	0.65738763
150	0.6572715388
151	0.6572281732
152	0.6571510587
153	0.6570688285
154	0.6569680879
155	0.6569116365
156	0.6568419291
157	0.6567563131
158	0.6566486236
159	0.656559791
160	0.6564117142
161	0.6563394188
162	0.6562376584
163	0.6561774872
164	0.6560735657
165	0.6559583863
166	0.6558912814
167	0.655781533
168	0.6556998324
169	0.6556074828
170	0.655552879
171	0.6554333892
172	0.6553556132
173	0.6552332095
174	0.6551499019
175	0.6550736108
176	0.655011859
177	0.6549303397
178	0.654852836
179	0.6547814542
180	0.6547173783
181	0.6545886827
182	0.654511166
183	0.6543668255
184	0.6542956397
185	0.6541900154
186	0.6541089407
187	0.6539955407
188	0.653922139
189	0.6538496673
190	0.6537562878
191	0.6536248448
192	0.6535236418
193	0.6533928656
194	0.6532537143
195	0.6531507729
196	0.6530162338
197	0.6529487555
198	0.6528175919
199	0.6527207121
200	0.6526393164
201	0.6525593659
202	0.6524846439
203	0.6524303476
204	0.652364787
205	0.652287827
206	0.6521652776
207	0.6520522493
208	0.6519314505
209	0.6518567927
210	0.6517833546
211	0.6517083692
212	0.6516316139
213	0.6515545062
214	0.6514711305
215	0.6513748412
216	0.6512578538
217	0.6511644925
218	0.651072925
219	0.6509951505
220	0.6508855292
221	0.6508340485
222	0.6507735942
223	0.650708457
224	0.6506219244
225	0.6505124612
226	0.6504245159
227	0.6503290197
228	0.650254229
229	0.6501593134
230	0.650051945
231	0.64998641
232	0.6498661843
233	0.6498293377
234	0.6497353478
235	0.6496961229
236	0.6495997632
237	0.6494937942
238	0.6493869774
239	0.6493126768
240	0.6492179719
241	0.6491334276
242	0.6490372075
243	0.6489687913
244	0.6488657861
245	0.648786764
246	0.6486637036
247	0.6485897084
248	0.6485141921
249	0.6484014924
250	0.6483471993
251	0.6482815855
252	0.6481337264
253	0.648046664
254	0.6478935759
255	0.6477744187
256	0.6476669421
257	0.647559529
258	0.6474897917
259	0.6473719714
260	0.6472426327
261	0.6471478112
262	0.6470541698
263	0.6469922103
264	0.6469392266
265	0.646846126
266	0.6467074577
267	0.6466042071
268	0.6465241831
269	0.6463876577
270	0.6462876125
271	0.6461863399
272	0.6461012772
273	0.6460049145
274	0.6459375225
275	0.6458559164
276	0.645755543
277	0.6456661777
278	0.645580851
279	0.6454510605
280	0.6453572196
281	0.6452531657
282	0.6451510293
283	0.6451015858
284	0.6450299492
285	0.6449858752
286	0.6449137721
287	0.6448098564
288	0.6447021479
289	0.6445658208
290	0.6444794681
291	0.6443674195
292	0.6442957439
293	0.6441883879
294	0.6440797568
295	0.6439846058
296	0.6438995986
297	0.6437605678
298	0.6436607053
299	0.6435981786
